M35_230001	唉。我真的好难过呀。没人理解我。
M35_230023	嗯。我想笑啊。可是心里满是泪水。
	en4 wo3 xiang3 xiao4 a5 ke3 shi4 xin1 li3 man3 shi4 lei4 shui3
M35_230024	唉。我害怕被遗忘。像风中飘零的叶子。
	ai4 wo3 hai4 pa4 bei4 yi2 wang4 xiang4 feng1 zhong1 piao1 ling2 de5 ye4 zi5
M35_230025	啊。好想有一个人，可以听懂我内心的声音啊！
	a5 hao3 xiang3 you3 yi2 ge4 ren2 ke3 yi3 ting1 dong3 wo3 nei4 xin1 de5 sheng1 yin1 a5
M35_230026	【抽泣】。我的影子好孤单。没人和我玩儿。
	wo3 de5 ying3 zi5 hao3 gu1 dan1 mei2 ren2 he2 wo3 wan2 er5
M35_230027	唉。朋友走了。连空气都变冷了。
	ai4 peng2 you5 zou3 le5 lian2 kong1 qi4 dou1 bian4 leng3 le5
M35_230028	【抽泣】。我的泪水像雨、滴。滴在心里。
	wo3 de5 lei4 shui3 xiang4 yu3 di1 di1 zai4 xin1 li3
M35_230029	嗯。我的声音越来越小。快消失了。
	en4 wo3 de5 sheng1 yin1 yue4 lai2 yue4 xiao3 kuai4 xiao1 shi1 le5
M35_230030	唉。我想回到过去。那时还有欢笑。
	ai4 wo3 xiang3 hui2 dao4 guo4 qu4 na4 shi2 hai2 you3 huan1 xiao4
M35_230031	【抽泣】。我的心，像被冷风吹的一样刺痛。
	wo3 de5 xin1 xiang4 bei4 leng3 feng1 chui1 de5 yi2 yang4 ci4 tong4
M35_230032	【抽泣】。没人看到我流泪的样子。好难过呀。
	mei2 ren2 kan4 dao4 wo3 liu2 lei4 de5 yang4 zi5 hao3 nan2 guo4 ya5
M35_230033	唉。我害怕黑夜。也害怕孤独。
	ai4 wo3 hai4 pa4 hei1 ye4 ye3 hai4 pa4 gu1 du2
M35_230034	唉。我好想大声喊啊。却只能沉默。
	ai4 wo3 hao3 xiang3 da4 sheng1 han3 a5 que4 zhi3 neng2 chen2 mo4
M35_230035	嗯。我的梦被黑暗吞没了。找不到出口。
	en4 wo3 de5 meng4 bei4 hei1 an4 tun1 mo4 le5 zhao3 bu2 dao4 chu1 kou3
M35_230036	嗯。我的笑容背后，藏着太多悲伤了。
	en4 wo3 de5 xiao4 rong2 bei4 hou4 cang2 zhe5 tai4 duo1 bei1 shang1 le5
M35_230037	【抽泣】。失去了你。连呼吸都变得沉重。
	shi1 qu4 le5 ni3 lian2 hu1 xi1 dou1 bian4 de5 chen2 zhong4
M35_230038	唉。我的眼泪，装满了没有说出口的痛。
	ai4 wo3 de5 yan3 lei4 zhuang1 man3 le5 mei2 you3 shuo1 chu1 kou3 de5 tong4
M35_230039	【抽泣】。我的世界好冷啊。没有温暖的角落。
	wo3 de5 shi4 jie4 hao3 leng3 a5 mei2 you3 wen1 nuan3 de5 jiao3 luo4
M35_230040	嗯。我试着坚强。但是心真的好痛。
	en4 wo3 shi4 zhe5 jian1 qiang2 dan4 shi4 xin1 zhen1 de5 hao3 tong4
M35_230042	嗯。我好想有一个人，陪我走过黑夜。
	en4 wo3 hao3 xiang3 you3 yi2 ge4 ren2 pei2 wo3 zou3 guo4 hei1 ye4
M35_230043	唉。我的泪水、是无声的呼唤，没有回应。
	ai4 wo3 de5 lei4 shui3 shi4 wu2 sheng1 de5 hu1 huan4 mei2 you3 hui2 ying4
M35_230044	嗯。我好想回到那个，无忧无虑的时光。
	en4 wo3 hao3 xiang3 hui2 dao4 na4 ge5 wu2 you1 wu2 lv4 de5 shi2 guang1
M35_230045	唉。我的心被风吹得破碎。碎了一地。
	ai5 wo3 de5 xin1 bei4 feng1 chui1 de5 po4 sui4 sui4 le5 yi2 di4
M35_230046	【抽泣】，我想念那天的笑声。却只剩下了回忆。
	wo3 xiang3 nian4 na4 tian1 de5 xiao4 sheng1 que4 zhi3 sheng4 xia4 le5 hui2 yi4
M35_230047	我就像是一只迷路的小鸟。找不到方向。
	wo3 jiu4 xiang4 shi4 yi4 zhi1 mi2 lu4 de5 xiao3 niao3 zhao3 bu2 dao4 fang1 xiang4
M35_230049	我的心像冰块一样。冷得无法融化。
	wo3 de5 xin1 xiang4 bing1 kuai4 yi2 yang4 leng3 de5 wu2 fa3 rong2 hua4
M35_230050	嗯。朋友走了。连时间都变得缓慢。
	en4 peng2 you5 zou3 le5 lian2 shi2 jian1 dou1 bian4 de5 huan3 man4
M35_230051	唉。我害怕黑暗。害怕没有人陪伴我。
	ai4 wo3 hai4 pa4 hei1 an4 hai4 pa4 mei2 you3 ren2 pei2 ban4 wo3
M35_230052	嗯。我的眼泪是心底最真实的声音。
	en4 wo3 de5 yan3 lei4 shi4 xin1 di3 zui4 zhen1 shi2 de5 sheng1 yin1
M35_230053	哎呦。我想拥抱你。却只能抱紧自己。
	ai1 you5 wo3 xiang3 yong1 bao4 ni3 que4 zhi3 neng2 bao4 jin3 zi4 ji3
M35_230054	【抽泣】。我好想有人、能听懂我的心声啊！
	wo3 hao3 xiang3 you3 ren2 neng2 ting1 dong3 wo3 de5 xin1 sheng1 a5
M35_230055	唉。我的笑容背后，藏着太多难言的伤。
	ai4 wo3 de5 xiao4 rong2 bei4 hou4 cang2 zhe5 tai4 duo1 nan2 yan2 de5 shang1
M35_230057	唉。我的泪水就像雨、滴。滴落在心里。
	ai5 wo3 de5 lei4 shui3 jiu4 xiang4 yu3 di1 di1 luo4 zai4 xin1 li3
M35_230058	嗯。我好害怕。感觉被世界遗弃了。
	en4 wo3 hao3 hai4 pa4 gan3 jue2 bei4 shi4 jie4 yi2 qi4 le5
M35_230059	【抽泣】。我想哭。却没有人看到我的泪水。
	wo3 xiang3 ku1 que4 mei2 you3 ren2 kan4 dao4 wo3 de5 lei4 shui3
M35_230060	【抽泣】。我的梦破碎了，像玻璃一样破碎。
	wo3 de5 meng4 po4 sui4 le5 xiang4 bo1 li5 yi2 yang4 po4 sui4
M35_230061	我的世界失去了颜色。只剩黑色。
	wo3 de5 shi4 jie4 shi1 qu4 le5 yan2 se4 zhi3 sheng4 hei1 se4
M35_230062	【抽泣】。我好想回到那温暖的怀抱啊。
	wo3 hao3 xiang3 hui2 dao4 na4 wen1 nuan3 de5 huai2 bao4 a5
M35_230063	唉。我的心碎了一地。没人来捡起。
	ai4 wo3 de5 xin1 sui4 le5 yi2 di4 mei2 ren2 lai2 jian3 qi3
M35_230064	嗯。我好害怕孤独。也害怕寂寞。
	en4 wo3 hao3 hai4 pa4 gu1 du2 ye3 hai4 pa4 ji4 mo4
M35_230065	【抽泣】。我的声音越来越小。快听不到了。
	wo3 de5 sheng1 yin1 yue4 lai2 yue4 xiao3 kuai4 ting1 bu2 dao4 le5
M35_230066	嗯。我好想大声喊。可是没人听见。
	en4 wo3 hao3 xiang3 da4 sheng1 han3 ke3 shi4 mei2 ren2 ting1 jian4
M35_230067	唉。我的影子被拉长。显得更加孤独了。
	ai4 wo3 de5 ying3 zi5 bei4 la1 chang2 xian3 de5 geng4 jia1 gu1 du2 le5
M35_230068	【抽泣】，是啊。我像一只迷失的小船。找不到回家的路。
	shi4 a5 wo3 xiang4 yi4 zhi1 mi2 shi1 de5 xiao3 chuan2 zhao3 bu2 dao4 hui2 jia1 de5 lu4
M35_230069	【吸鼻子】，你知道吗？失去你后，我连呼吸都变得困难。
	ni3 zhi1 dao4 ma5 shi1 qu4 ni3 hou4 wo3 lian2 hu1 xi1 dou1 bian4 de5 kun4 nan2
M35_230070	【抽泣】。我的眼泪，淹没了所有的欢笑。
	wo3 de5 yan3 lei4 yan1 mo4 le5 suo3 you3 de5 huan1 xiao4
M35_230072	【抽泣】，我害怕黑夜，害怕没有人陪我。
	wo3 hai4 pa4 hei1 ye4 hai4 pa4 mei2 you3 ren2 pei2 wo3
M35_230073	嗯。我的泪水，是心底最深的痛。
	en4 wo3 de5 lei4 shui3 shi4 xin1 di3 zui4 shen1 de5 tong4
M35_230075	【抽泣】。我的心、像秋天的落叶。飘零无助。
	wo3 de5 xin1 xiang4 qiu1 tian1 de5 luo4 ye4 piao1 ling2 wu2 zhu4
M35_230077	我的梦破碎了。没办法拼凑。
	wo3 de5 meng4 po4 sui4 le5 mei2 ban4 fa3 pin1 cou4
M35_230078	【抽泣】。眼泪滑过脸颊。却没有人注意。
	yan3 lei4 hua2 guo4 lian3 jia2 que4 mei2 you3 ren2 zhu4 yi4
M35_230079	【抽泣】。我的世界失去了色彩。只剩黑白。
	wo3 de5 shi4 jie4 shi1 qu4 le5 se4 cai3 zhi3 sheng4 hei1 bai2
M35_230080	我害怕孤独。却无处躲藏。
	wo3 hai4 pa4 gu1 du2 que4 wu2 chu4 duo3 cang2
M35_230081	嗯。我的声音变得越来越微弱了。快要消失了。
	en4 wo3 de5 sheng1 yin1 bian4 de5 yue4 lai2 yue4 wei1 ruo4 le5 kuai4 yao4 xiao1 shi1 le5
M35_230082	唉。失去朋友后。世界变得寂静无声。
	ai4 shi1 qu4 peng2 you5 hou4 shi4 jie4 bian4 de5 ji4 jing4 wu2 sheng1
M35_230083	我的心像沉重的石头。压得我喘不过气。
	wo3 de5 xin1 xiang4 chen2 zhong4 de5 shi2 tou5 ya1 de5 wo3 chuan3 bu2 guo4 qi4
M35_230084	我想哭。却没有人看到我的泪水。
	wo3 xiang3 ku1 que4 mei2 you3 ren2 kan4 dao4 wo3 de5 lei4 shui3
M35_230086	我害怕黑暗。也害怕被遗忘。
	wo3 hai4 pa4 hei1 an4 ye3 hai4 pa4 bei4 yi2 wang4
M35_230087	【抽泣】。我的笑容背后，藏着太多无助。
	wo3 de5 xiao4 rong2 bei4 hou4 cang2 zhe5 tai4 duo1 wu2 zhu4
M35_230088	朋友离开后。连风都变得冷漠。
	peng2 you5 li2 kai1 hou4 lian2 feng1 dou1 bian4 de5 leng3 mo4
M35_230089	我的心像被雨水打湿，冷冷的。
	wo3 de5 xin1 xiang4 bei4 yu3 shui3 da3 shi1 leng3 leng3 de5
M35_230090	我想拥抱你。却只能抱紧自己。
	wo3 xiang3 yong1 bao4 ni3 que4 zhi3 neng2 bao4 jin3 zi4 ji3
M35_230091	我的泪水像雨滴。滴落在地上。
	wo3 de5 lei4 shui3 xiang4 yu3 di1 di1 luo4 zai4 di4 shang4
M35_230092	我害怕孤单。也害怕寂寞。
	wo3 hai4 pa4 gu1 dan1 ye3 hai4 pa4 ji4 mo4
M35_230093	我的声音被风吹走。飘得很远很远。
	wo3 de5 sheng1 yin1 bei4 feng1 chui1 zou3 piao1 de5 hen3 yuan3 hen3 yuan3
M35_230094	我的世界变得空荡荡的，没有欢乐。
	wo3 de5 shi4 jie4 bian4 de5 kong1 dang4 dang4 de5 mei2 you3 huan1 le4
M35_230095	我想找回失去的笑容，却找不到。
	wo3 xiang3 zhao3 hui2 shi1 qu4 de5 xiao4 rong2 que4 zhao3 bu2 dao4
M35_230096	【叹气】。我的眼泪是心底最真实的声音。
	wo3 de5 yan3 lei4 shi4 xin1 di3 zui4 zhen1 shi2 de5 sheng1 yin1
M35_230097	嗯。朋友离开后。连时间都变得缓慢。
	en4 peng2 you5 li2 kai1 hou4 lian2 shi2 jian1 dou1 bian4 de5 huan3 man4
M35_230098	唉。我的心像飘零的叶子。找不到归宿。
	ai4 wo3 de5 xin1 xiang4 piao1 ling2 de5 ye4 zi5 zhao3 bu2 dao4 gui1 su4
M35_230099	【抽泣】。我好想大声喊啊！却只能沉默。
	wo3 hao3 xiang3 da4 sheng1 han3 a5 que4 zhi3 neng2 chen2 mo4
M35_230100	我的梦像破碎的泡泡，无法抓住。
	wo3 de5 meng4 xiang4 po4 sui4 de5 pao4 pao5 wu2 fa3 zhua1 zhu4
M35_230102	唉。我的笑容背后，藏着无尽的悲伤。
	ai4 wo3 de5 xiao4 rong2 bei4 hou4 cang2 zhe5 wu2 jin4 de5 bei1 shang1
M35_230103	【抽泣】。我想哭。却没人看见我的泪水。
	wo3 xiang3 ku1 que4 mei2 ren2 kan4 jian4 wo3 de5 lei4 shui3
M35_230104	唉。我的眼睛干涩。充满了泪水。
	ai4 wo3 de5 yan3 jing1 gan1 se4 chong1 man3 le5 lei4 shui3
M35_230105	嗯。我好想有人，可以听懂我的心声啊！
	en4 wo3 hao3 xiang3 you3 ren2 ke3 yi3 ting1 dong3 wo3 de5 xin1 sheng1 a5
M35_230106	啊。我的心，像被风吹散的叶子。飘零又无助。
	a5 wo3 de5 xin1 xiang4 bei4 feng1 chui1 san4 de5 ye4 zi5 piao1 ling2 you4 wu2 zhu4
M35_230107	嗯。失去了你。我像失去了一切。
	en4 shi1 qu4 le5 ni3 wo3 xiang4 shi1 qu4 le5 yi2 qie4
M35_230108	我的泪水、淹没了所有欢笑。
	wo3 de5 lei4 shui3 yan1 mo4 le5 suo3 you3 huan1 xiao4
M35_230109	我。我害怕黑夜。害怕被遗忘。
	wo3 wo3 hai4 pa4 hei1 ye4 hai4 pa4 bei4 yi2 wang4
M35_230110	我的声音被风吹走。飘得很远很远。
	wo3 de5 sheng1 yin1 bei4 feng1 chui1 zou3 piao1 de5 hen3 yuan3 hen3 yuan3
M35_230111	我的世界变得寂静无声。没有欢乐。
	wo3 de5 shi4 jie4 bian4 de5 ji4 jing4 wu2 sheng1 mei2 you3 huan1 le4
M35_230112	我想找回失去的笑容。却找不到了。
	wo3 xiang3 zhao3 hui2 shi1 qu4 de5 xiao4 rong2 que4 zhao3 bu2 dao4 le5
M35_230113	【抽泣】。我的眼泪、是心底最真实的声音。
	wo3 de5 yan3 lei4 shi4 xin1 di3 zui4 zhen1 shi2 de5 sheng1 yin1
M35_230114	【叹气】。朋友离开后。连时间都变得缓慢。
	peng2 you5 li2 kai1 hou4 lian2 shi2 jian1 dou1 bian4 de5 huan3 man4
M35_230115	嗯。我的心像飘零的叶子。找不到归宿。
	en4 wo3 de5 xin1 xiang4 piao1 ling2 de5 ye4 zi5 zhao3 bu2 dao4 gui1 su4
M35_230116	我好想大声喊。却只能沉默。
	wo3 hao3 xiang3 da4 sheng1 han3 que4 zhi3 neng2 chen2 mo4
M35_230117	我的梦、像破碎的泡泡。无法抓住。
	wo3 de5 meng4 xiang4 po4 sui4 de5 pao4 pao5 wu2 fa3 zhua1 zhu4
M35_230118	我害怕孤独。也害怕没有人理解。
	wo3 hai4 pa4 gu1 du2 ye3 hai4 pa4 mei2 you3 ren2 li3 jie3
M35_230119	我的笑容背后，藏着无尽的悲伤。
	wo3 de5 xiao4 rong2 bei4 hou4 cang2 zhe5 wu2 jin4 de5 bei1 shang1
M35_230120	我想哭。却没人看见我的泪水。
	wo3 xiang3 ku1 que4 mei2 ren2 kan4 jian4 wo3 de5 lei4 shui3
M35_230121	我的眼睛干涩，充满了泪水。
	wo3 de5 yan3 jing1 gan1 se4 chong1 man3 le5 lei4 shui3
M35_230122	【抽泣】。我好想有人听懂我的心声。
	wo3 hao3 xiang3 you3 ren2 ting1 dong3 wo3 de5 xin1 sheng1
M35_230123	嗯。我的心，像被风吹散的叶子。飘零又无助。
	en4 wo3 de5 xin1 xiang4 bei4 feng1 chui1 san4 de5 ye4 zi5 piao1 ling2 you4 wu2 zhu4
M35_230124	天啊！失去了你，我像失去了一切。
	tian1 a5 shi1 qu4 le5 ni3 wo3 xiang4 shi1 qu4 le5 yi2 qie4
M35_230125	【抽泣】。我的泪水、淹没了所有欢笑。
	wo3 de5 lei4 shui3 yan1 mo4 le5 suo3 you3 huan1 xiao4
M35_230126	嗯。我害怕黑夜。害怕被遗忘。
	en4 wo3 hai4 pa4 hei1 ye4 hai4 pa4 bei4 yi2 wang4
M35_230127	我的声音被风吹走。飘得很远。
	wo3 de5 sheng1 yin1 bei4 feng1 chui1 zou3 piao1 de5 hen3 yuan3
M35_230128	唉。我的世界变得寂静无声。没有欢乐。
	ai4 wo3 de5 shi4 jie4 bian4 de5 ji4 jing4 wu2 sheng1 mei2 you3 huan1 le4
M35_230129	嗯。我想找回失去的笑容。却找不到。
	en4 wo3 xiang3 zhao3 hui2 shi1 qu4 de5 xiao4 rong2 que4 zhao3 bu2 dao4
M35_230130	【抽泣】。我的眼泪，是心底最真实的声音。
	wo3 de5 yan3 lei4 shi4 xin1 di3 zui4 zhen1 shi2 de5 sheng1 yin1
M35_230131	我的朋友离开后。连时间都变得缓慢。
	wo3 de5 peng2 you5 li2 kai1 hou4 lian2 shi2 jian1 dou1 bian4 de5 huan3 man4
M35_230132	我的心像飘零的叶子。找不到归宿。
	wo3 de5 xin1 xiang4 piao1 ling2 de5 ye4 zi5 zhao3 bu2 dao4 gui1 su4
M35_230133	【抽泣】。我好想大声喊啊！却只能沉默。
	wo3 hao3 xiang3 da4 sheng1 han3 a5 que4 zhi3 neng2 chen2 mo4
M35_230134	唉！我的梦、像破碎的泡泡，无法抓住。
	ai5 wo3 de5 meng4 xiang4 po4 sui4 de5 pao4 pao5 wu2 fa3 zhua1 zhu4
M35_230135	【抽泣】。我害怕孤独。也害怕没有人理解。
	wo3 hai4 pa4 gu1 du2 ye3 hai4 pa4 mei2 you3 ren2 li3 jie3
M35_230136	唉。我的笑容背后，藏着无尽的悲伤。
	ai4 wo3 de5 xiao4 rong2 bei4 hou4 cang2 zhe5 wu2 jin4 de5 bei1 shang1
M35_230137	嗯。我想哭。却没人看见我的泪水。
	en4 wo3 xiang3 ku1 que4 mei2 ren2 kan4 jian4 wo3 de5 lei4 shui3
M35_230138	【叹气】。我的眼睛干涩。充满了泪水。
	wo3 de5 yan3 jing1 gan1 se4 chong1 man3 le5 lei4 shui3
M35_230139	【叹气】。我好想有人听懂我的心声啊！
	wo3 hao3 xiang3 you3 ren2 ting1 dong3 wo3 de5 xin1 sheng1 a5
M35_230140	我的心像被风吹散的叶子。飘零无助。
	wo3 de5 xin1 xiang4 bei4 feng1 chui1 san4 de5 ye4 zi5 piao1 ling2 wu2 zhu4
M35_230141	【抽泣】。失去了你。我像失去了一切。
	shi1 qu4 le5 ni3 wo3 xiang4 shi1 qu4 le5 yi2 qie4
M35_230142	啊。我的泪水，淹没了所有欢笑。
	a5 wo3 de5 lei4 shui3 yan1 mo4 le5 suo3 you3 huan1 xiao4
M35_230143	【吸鼻子】。我害怕黑夜。害怕被遗忘。
	wo3 hai4 pa4 hei1 ye4 hai4 pa4 bei4 yi2 wang4
M35_230144	我的声音被风吹走。飘得很远。
	wo3 de5 sheng1 yin1 bei4 feng1 chui1 zou3 piao1 de5 hen3 yuan3
M35_230145	嗯。我的世界变得寂静无声。没有欢乐。
	en4 wo3 de5 shi4 jie4 bian4 de5 ji4 jing4 wu2 sheng1 mei2 you3 huan1 le4
M35_230146	啊。我想找回失去的笑容。却怎么也找不到。
	a5 wo3 xiang3 zhao3 hui2 shi1 qu4 de5 xiao4 rong2 que4 zen3 me5 ye3 zhao3 bu2 dao4
M35_230147	我的朋友离开后。连时间都变得缓慢。
	wo3 de5 peng2 you5 li2 kai1 hou4 lian2 shi2 jian1 dou1 bian4 de5 huan3 man4
M35_230148	我的心像飘零的叶子。找不到归宿。
	wo3 de5 xin1 xiang4 piao1 ling2 de5 ye4 zi5 zhao3 bu2 dao4 gui1 su4
M35_230149	我好想大声喊啊！却只能沉默。
	wo3 hao3 xiang3 da4 sheng1 han3 a5 que4 zhi3 neng2 chen2 mo4
M35_230150	我的梦，像破碎的泡泡，无法抓住。
	wo3 de5 meng4 xiang4 po4 sui4 de5 pao4 pao5 wu2 fa3 zhua1 zhu4
M35_230151	【抽泣】。我害怕孤独。也害怕没人理解。
	wo3 hai4 pa4 gu1 du2 ye3 hai4 pa4 mei2 ren2 li3 jie3
M35_230152	嗯。我的笑容背后，藏着无尽的悲伤。
	en4 wo3 de5 xiao4 rong2 bei4 hou4 cang2 zhe5 wu2 jin4 de5 bei1 shang1
M35_230153	【抽泣】。我好想哭啊。却没有人看见我的泪水。
	wo3 hao3 xiang3 ku1 a5 que4 mei2 you3 ren2 kan4 jian4 wo3 de5 lei4 shui3
M35_230154	【吸鼻子】。我的眼睛干涩。充满泪水。
	wo3 de5 yan3 jing1 gan1 se4 chong1 man3 lei4 shui3
M35_230155	哎哟。我好想有人听懂我的心声啊。
	ai1 yo5 wo3 hao3 xiang3 you3 ren2 ting1 dong3 wo3 de5 xin1 sheng1 a5
M35_230156	我的心，就像被风吹散的叶子。飘零又无助。
	wo3 de5 xin1 jiu4 xiang4 bei4 feng1 chui1 san4 de5 ye4 zi5 piao1 ling2 you4 wu2 zhu4
M35_230157	【抽泣】。失去了你。我像失去了一切。
	shi1 qu4 le5 ni3 wo3 xiang4 shi1 qu4 le5 yi2 qie4
M35_230158	【抽泣】。我的泪水。淹没了所有欢笑。
	wo3 de5 lei4 shui3 yan1 mo4 le5 suo3 you3 huan1 xiao4
M35_230159	【抽泣】。我害怕黑夜。害怕被遗忘。
	wo3 hai4 pa4 hei1 ye4 hai4 pa4 bei4 yi2 wang4
M35_230160	嗯。我的声音被风吹走了。飘得很远。
	en4 wo3 de5 sheng1 yin1 bei4 feng1 chui1 zou3 le5 piao1 de5 hen3 yuan3
M35_230161	啊。我的世界变得寂静无声。没有欢乐。
	a5 wo3 de5 shi4 jie4 bian4 de5 ji4 jing4 wu2 sheng1 mei2 you3 huan1 le4
M35_230162	哎呦，我的眼泪，是心底最真实的声音。
	ai1 you5 wo3 de5 yan3 lei4 shi4 xin1 di3 zui4 zhen1 shi2 de5 sheng1 yin1
M35_230163	【抽泣】。朋友离开后。连时间都变得缓慢。
	peng2 you5 li2 kai1 hou4 lian2 shi2 jian1 dou1 bian4 de5 huan3 man4
M35_230164	【抽泣】。我的梦、像破碎的泡泡，无法抓住。
	wo3 de5 meng4 xiang4 po4 sui4 de5 pao4 pao5 wu2 fa3 zhua1 zhu4
M35_230165	嗯。我害怕孤独。也害怕没有人理解。
	en4 wo3 hai4 pa4 gu1 du2 ye3 hai4 pa4 mei2 you3 ren2 li3 jie3
M35_230166	我的眼睛干涩。充满了泪水。
	wo3 de5 yan3 jing1 gan1 se4 chong1 man3 le5 lei4 shui3
M35_230167	【抽泣】。我好想有人听懂我的心声啊！
	wo3 hao3 xiang3 you3 ren2 ting1 dong3 wo3 de5 xin1 sheng1 a5
M35_230168	唉。我的泪水，淹没了所有欢笑。
	ai4 wo3 de5 lei4 shui3 yan1 mo4 le5 suo3 you3 huan1 xiao4
M35_230169	我害怕黑夜。害怕被遗忘。
	wo3 hai4 pa4 hei1 ye4 hai4 pa4 bei4 yi2 wang4
M35_230170	我想找回失去的笑容。却怎么也找不到。
	wo3 xiang3 zhao3 hui2 shi1 qu4 de5 xiao4 rong2 que4 zen3 me5 ye3 zhao3 bu2 dao4
M35_230172	【吸鼻子】。我好想大声喊啊。却只能沉默。
	wo3 hao3 xiang3 da4 sheng1 han3 a5 que4 zhi3 neng2 chen2 mo4
M35_230173	我的梦、像破碎的泡泡，无法抓住。
	wo3 de5 meng4 xiang4 po4 sui4 de5 pao4 pao5 wu2 fa3 zhua1 zhu4
M35_230174	我想哭。却没人看见我的泪水。
	wo3 xiang3 ku1 que4 mei2 ren2 kan4 jian4 wo3 de5 lei4 shui3
M35_230175	我的眼睛干涩。充满了眼泪。
	wo3 de5 yan3 jing1 gan1 se4 chong1 man3 le5 yan3 lei4
M35_230176	失去了你。我像失去了一切。
	shi1 qu4 le5 ni3 wo3 xiang4 shi1 qu4 le5 yi2 qie4
M35_230177	哎哟。我的世界变得寂静无声。没有欢乐。
	ai1 yo5 wo3 de5 shi4 jie4 bian4 de5 ji4 jing4 wu2 sheng1 mei2 you3 huan1 le4
M35_230178	【抽泣】。我想找回失去的笑容。却找不到。
	wo3 xiang3 zhao3 hui2 shi1 qu4 de5 xiao4 rong2 que4 zhao3 bu2 dao4
M35_230179	【叹气】。我的小球不见了。我好伤心啊！
	wo3 de5 xiao3 qiu2 bu2 jian4 le5 wo3 hao3 shang1 xin1 a5
M35_230181	【叹气】。我好想念我的奶奶。
	wo3 hao3 xiang3 nian4 wo3 de5 nai3 nai5
M35_230183	唉。为什么朋友都要搬家呢？
	ai4 wei4 shen2 me5 peng2 you5 dou1 yao4 ban1 jia1 ne5
M35_230184	哦。天黑了。我一个人好害怕。
	o4 tian1 hei1 le5 wo3 yi2 ge4 ren2 hao3 hai4 pa4
M35_230186	唉。玩具坏了。修不好了。
	ai4 wan2 ju4 huai4 le5 xiu1 bu4 hao3 le5
M35_230187	哦。梦里的快乐，醒来就没了。
	o4 meng4 li3 de5 kuai4 le4 xing3 lai2 jiu4 mei2 le5
M35_230188	【抽泣】。爸爸出差了。我好想他呀！
	ba4 ba5 chu1 chai1 le5 wo3 hao3 xiang3 ta1 ya5
M35_230189	【抽泣】，考试没考好。心里难受。
