M24_230001	哎。我真的好难过呀！没人理解我。
	wo3 de5 lei4 shui3 shi4 wu2 sheng1 de5 hu1 han3 mei2 you3 hui2 ying4
M24_230044	【叹气】。我好想回到那无忧无虑的时光。
	wo3 hao3 xiang3 hui2 dao4 na4 wu2 you1 wu2 lv4 de5 shi2 guang1
M24_230045	【叹气】。我的心被风吹得破碎。碎了一地。
	wo3 de5 xin1 bei4 feng1 chui1 de5 po4 sui4 sui4 le5 yi2 di4
M24_230046	【哭声】我好想念那天的笑声。却只剩回忆。
	wo3 hao3 xiang3 nian4 nei4 tian1 de5 xiao4 sheng1 que4 zhi3 sheng4 hui2 yi4
M24_230047	【叹气】。我像一只迷路的小鸟。找不到方向。
	wo3 xiang4 yi4 zhi1 mi2 lu4 de5 xiao3 niao3 zhao3 bu2 dao4 fang1 xiang4
M24_230048	【叹气】。我的声音被风吹散。飘的好远。
	wo3 de5 sheng1 yin1 bei4 feng1 chui1 san4 piao1 de5 hao3 yuan3
M24_230049	【叹气】。我的心像冰块。冷得无法融化。
	wo3 de5 xin1 xiang4 bing1 kuai4 leng3 de5 wu2 fa3 rong2 hua4
M24_230050	【叹气】。朋友走了。连时间都变得缓慢。
	peng2 you3 zou3 le5 lian2 shi2 jian1 dou1 bian4 de5 huan3 man4
M24_230051	【叹气】。我害怕黑暗。害怕没人陪伴我。
	wo3 hai4 pa4 hei1 an4 hai4 pa4 mei2 ren2 pei2 ban4 wo3
M24_230052	啊。我的眼泪是心底最真实的声音。
	a5 wo3 de5 yan3 lei4 shi4 xin1 di3 zui4 zhen1 shi2 de5 sheng1 yin1
M24_230053	哎呦。我想拥抱你。却只能抱紧自己。
	ai1 you5 wo3 xiang3 yong1 bao4 ni3 que4 zhi3 neng2 bao4 jin3 zi4 ji3
M24_230054	【哭声】、我好想有人能听懂我的心声。
	wo3 hao3 xiang3 you3 ren2 neng2 ting1 dong3 wo3 de5 xin1 sheng1
M24_230055	【叹气】。我的笑容背后藏着太多难言的伤。
	wo3 de5 xiao4 rong2 bei4 hou4 cang2 zhe5 tai4 duo1 nan2 yan2 de5 shang1
M24_230056	【叹气】。我好想有人陪我。不要离开我。
	wo3 hao3 xiang3 you3 ren2 pei2 wo3 bu2 yao4 li2 kai1 wo3
M24_230057	【叹气】。我的泪水像雨滴。滴落在心里。
	wo3 de5 lei4 shui3 xiang4 yu3 di1 di1 luo4 zai4 xin1 li3
M24_230058	【哭声】、我好害怕。感觉被世界遗忘了。
	wo3 hao3 hai4 pa4 gan3 jue2 bei4 shi4 jie4 yi2 wang4 le5
M24_230059	【哭声】。我想哭。却没人看到我的泪水。
	wo3 xiang3 ku1 que4 mei2 ren2 kan4 dao4 wo3 de5 lei4 shui3
M24_230060	【哭声】、我的梦破碎了。像玻璃一样碎裂。
	wo3 de5 meng4 po4 sui4 le5 xiang4 bo1 li5 yi2 yang4 sui4 lie4
M24_230061	【叹气】。我的世界失去了颜色。只剩黑白。
	wo3 de5 shi4 jie4 shi1 qu4 le5 yan2 se4 zhi3 sheng4 hei1 bai2
M24_230062	【哭声】。我好想回到那温暖的怀抱。
	wo3 hao3 xiang3 hui2 dao4 na4 wen1 nuan3 de5 huai2 bao4
M24_230063	【叹气】。我的心碎了一地。没人来捡起。
	wo3 de5 xin1 sui4 le5 yi2 di4 mei2 ren2 lai2 jian3 qi3
M24_230064	【哭声】。我好害怕孤独。也害怕寂寞。
	wo3 hao3 hai4 pa4 gu1 du2 ye3 hai4 pa4 ji4 mo4
M24_230065	【叹气】。我的声音变得越来越小。快听不到了。
	wo3 de5 sheng1 yin1 bian4 de5 yue4 lai2 yue4 xiao3 kuai4 ting1 bu2 dao4 le5
M24_230066	【哭声】我好想大声喊。可是没人听见。
	wo3 hao3 xiang3 da4 sheng1 han3 ke3 shi4 mei2 ren2 ting1 jian4
M24_230067	【叹气】。我的影子被拉长。显得更加孤独。
	wo3 de5 ying3 zi5 bei4 la1 chang2 xian3 de5 geng4 jia1 gu1 du2
M24_230068	【叹气】。我像一只迷失的小船。找不到回家的路。
	wo3 xiang4 yi4 zhi1 mi2 shi1 de5 xiao3 chuan2 zhao3 bu2 dao4 hui2 jia1 de5 lu4
M24_230069	哎呦。失去你后。连呼吸都变得困难。
	ai1 you5 shi1 qu4 ni3 hou4 lian2 hu1 xi1 dou1 bian4 de5 kun4 nan2
M24_230070	【哭声】、我的眼泪淹没了所有的欢笑。
	wo3 de5 yan3 lei4 yan1 mo4 le5 suo3 you3 de5 huan1 xiao4
M24_230072	【叹气】。我害怕黑夜。害怕没人陪我。
	wo3 hai4 pa4 hei1 ye4 hai4 pa4 mei2 ren2 pei2 wo3
M24_230073	【叹气】。我的泪水是心底最深的痛。
	wo3 de5 lei4 shui3 shi4 xin1 di3 zui4 shen1 de5 tong4
M24_230074	【叹气】。朋友走了。连空气都变得冰冷。
	peng2 you3 zou3 le5 lian2 kong1 qi4 dou1 bian4 de5 bing1 leng3
M24_230075	【叹气】。我的心像秋天的落叶。飘零无助。
	wo3 de5 xin1 xiang4 qiu1 tian1 de5 luo4 ye4 piao1 ling2 wu2 zhu4
M24_230076	哎呦。我好想回到从前。那里还有温暖。
	ai1 you5 wo3 hao3 xiang3 hui2 dao4 cong2 qian2 na4 li3 hai2 you3 wen1 nuan3
M24_230077	【哭声】、我的梦破碎了。无法拼凑。
	wo3 de5 meng4 po4 sui4 le5 wu2 fa3 pin1 cou4
M24_230078	【叹气】。眼泪划过脸颊。却没人注意。
	yan3 lei4 hua2 guo4 lian3 jia2 que4 mei2 ren2 zhu4 yi4
M24_230079	【叹气】。我的世界失去了色彩。只剩黑白。
	wo3 de5 shi4 jie4 shi1 qu4 le5 se4 cai3 zhi3 sheng4 hei1 bai2
M24_230080	【叹气】。我害怕孤独。却无处躲藏。
	wo3 hai4 pa4 gu1 du2 que4 wu2 chu4 duo3 cang2
M24_230081	【叹气】。我的声音变得微弱。快要消失。
	wo3 de5 sheng1 yin1 bian4 de5 wei1 ruo4 kuai4 yao4 xiao1 shi1
M24_230082	【叹气】。失去朋友后，世界变得寂静无声。
	shi1 qu4 peng2 you3 hou4 shi4 jie4 bian4 de5 ji4 jing4 wu2 sheng1
M24_230083	啊。我的心像沉重的石头。压得我喘不过气。
	a5 wo3 de5 xin1 xiang4 chen2 zhong4 de5 shi2 tou5 ya1 de5 wo3 chuan3 bu2 guo4 qi4
M24_230084	哎呦，我想哭。却没人看到我的泪水。
	ai1 you5 wo3 xiang3 ku1 que4 mei2 ren2 kan4 dao4 wo3 de5 lei4 shui3
M24_230085	【哭声】。我的眼睛充满了未说出口的悲伤。
	wo3 de5 yan3 jing1 chong1 man3 le5 wei4 shuo1 chu1 kou3 de5 bei1 shang1
M24_230086	【叹气】。我害怕黑暗。也害怕被遗忘。
	wo3 hai4 pa4 hei1 an4 ye3 hai4 pa4 bei4 yi2 wang4
M24_230087	【叹气】。我的笑容背后藏着太多无助。
	wo3 de5 xiao4 rong2 bei4 hou4 cang2 zhe5 tai4 duo1 wu2 zhu4
M24_230088	【叹气】。朋友离开后。连风都变得冷漠。
	peng2 you3 li2 kai1 hou4 lian2 feng1 dou1 bian4 de5 leng3 mo4
M24_230089	【哭声】我的心像被雨水打湿。冷冷的。
	wo3 de5 xin1 xiang4 bei4 yu3 shui3 da3 shi1 leng3 leng3 de5
M24_230090	【叹气】。我想拥抱你。却只能抱紧自己。
	wo3 xiang3 yong1 bao4 ni3 que4 zhi3 neng2 bao4 jin3 zi4 ji3
M24_230091	【叹气】。我的泪水像雨滴。滴落在地上。
	wo3 de5 lei4 shui3 xiang4 yu3 di1 di1 luo4 zai4 di4 shang5
M24_230092	哎呦。我害怕孤单。也害怕寂寞。
	ai1 you5 wo3 hai4 pa4 gu1 dan1 ye3 hai4 pa4 ji4 mo4
M24_230093	【哭声】我的声音被风吹走。飘得很远。
	wo3 de5 sheng1 yin1 bei4 feng1 chui1 zou3 piao1 de5 hen3 yuan3
M24_230094	【叹气】。我的世界变得空荡荡。没有欢乐。
	wo3 de5 shi4 jie4 bian4 de5 kong1 dang4 dang4 mei2 you3 huan1 le4
M24_230095	啊。我想找回失去的笑容。却找不到。
	a5 wo3 xiang3 zhao3 hui2 shi1 qu4 de5 xiao4 rong2 que4 zhao3 bu2 dao4
M24_230096	【叹气】。我的眼泪是心底最真实的声音。
	wo3 de5 yan3 lei4 shi4 xin1 di3 zui4 zhen1 shi2 de5 sheng1 yin1
M24_230097	【叹气】。朋友离开后。连时间都变得缓慢。
	peng2 you3 li2 kai1 hou4 lian2 shi2 jian1 dou1 bian4 de5 huan3 man4
M24_230098	【叹气】，我的心像飘零的叶子，找不到归宿。
	wo3 de5 xin1 xiang4 piao1 ling2 de5 ye4 zi5 zhao3 bu2 dao4 gui1 su4
M24_230100	哎呦。我的梦像破碎的泡泡。无法抓住。
	ai1 you5 wo3 de5 meng4 xiang4 po4 sui4 de5 pao4 pao5 wu2 fa3 zhua1 zhu4
M24_230101	【哭声】。我害怕孤独。也害怕没人理解。
	wo3 hai4 pa4 gu1 du2 ye3 hai4 pa4 mei2 ren2 li3 jie3
M24_230103	啊，我想哭。却没人看见我的泪水。
	a5 wo3 xiang3 ku1 que4 mei2 ren2 kan4 jian4 wo3 de5 lei4 shui3
M24_230104	【叹气】。我的眼睛干涩。充满泪水。
	wo3 de5 yan3 jing1 gan1 se4 chong1 man3 lei4 shui3
M24_230105	【叹气】。我好想有人听懂我的心声。
	wo3 hao3 xiang3 you3 ren2 ting1 dong3 wo3 de5 xin1 sheng1
M24_230106	【叹气】。我的心像被风吹散的叶子。飘零无助。
	wo3 de5 xin1 xiang4 bei4 feng1 chui1 san4 de5 ye4 zi5 piao1 ling2 wu2 zhu4
M24_230107	啊，失去了你。我像失去了一切。
	a5 shi1 qu4 le5 ni3 wo3 xiang4 shi1 qu4 le5 yi2 qie4
M24_230108	哎呀。我的泪水淹没了所有欢笑。
	ai1 ya5 wo3 de5 lei4 shui3 yan1 mo4 le5 suo3 you3 huan1 xiao4
M24_230109	【哭声】。我害怕黑夜，害怕被遗忘。
	wo3 hai4 pa4 hei1 ye4 hai4 pa4 bei4 yi2 wang4
M24_230110	【叹气】。我的声音被风吹走。飘得很远。
	wo3 de5 sheng1 yin1 bei4 feng1 chui1 zou3 piao1 de5 hen3 yuan3
M24_230111	【叹气】。我的世界变得寂静无声。没有欢乐。
	wo3 de5 shi4 jie4 bian4 de5 ji4 jing4 wu2 sheng1 mei2 you3 huan1 le4
M24_230112	【叹气】。我想找回失去的笑容。却找不到。
	wo3 xiang3 zhao3 hui2 shi1 qu4 de5 xiao4 rong2 que4 zhao3 bu2 dao4
M24_230113	【叹气】。我的眼泪是心底最真实的声音。
	wo3 de5 yan3 lei4 shi4 xin1 di3 zui4 zhen1 shi2 de5 sheng1 yin1
M24_230114	【叹气】。朋友离开后。连时间都变得缓慢。
	peng2 you5 li2 kai1 hou4 lian2 shi2 jian1 dou1 bian4 de5 huan3 man4
M24_230115	【叹气】，我的心像飘零的叶子。找不到归宿。
	wo3 de5 xin1 xiang4 piao1 ling2 de5 ye4 zi5 zhao3 bu2 dao4 gui1 su4
M24_230117	【哭声】。我的梦像破碎的泡泡，无法抓住。
	wo3 de5 meng4 xiang4 po4 sui4 de5 pao4 pao5 wu2 fa3 zhua1 zhu4
M24_230118	【叹气】。我害怕孤独。也害怕没人理解。
	wo3 hai4 pa4 gu1 du2 ye3 hai4 pa4 mei2 ren2 li3 jie3
M24_230119	【叹气】。我的笑容背后藏着无尽的悲伤。
	wo3 de5 xiao4 rong2 bei4 hou4 cang2 zhe5 wu2 jin4 de5 bei1 shang1
M24_230120	【叹气】，我想哭。却没人看见我的泪水。
	wo3 xiang3 ku1 que4 mei2 ren2 kan4 jian4 wo3 de5 lei4 shui3
M24_230121	【哭声】，我的眼睛干涩。充满泪水。
	wo3 de5 yan3 jing1 gan1 se4 chong1 man3 lei4 shui3
M24_230122	【叹气】。我好想有人听懂我的心声。
	wo3 hao3 xiang3 you3 ren2 ting1 dong3 wo3 de5 xin1 sheng1
M24_230123	【叹气】，我的心像被风吹散的叶子。飘零无助。
	wo3 de5 xin1 xiang4 bei4 feng1 chui1 san4 de5 ye4 zi5 piao1 ling2 wu2 zhu4
M24_230124	哎呦。失去了你。我像失去了一切。
	ai1 you5 shi1 qu4 le5 ni3 wo3 xiang4 shi1 qu4 le5 yi2 qie4
M24_230125	【哭声】我的泪水淹没了所有欢笑。
	wo3 de5 lei4 shui3 yan1 mo4 le5 suo3 you3 huan1 xiao4
M24_230126	【叹气】。我害怕黑夜。害怕被遗忘。
	wo3 hai4 pa4 hei1 ye4 hai4 pa4 bei4 yi2 wang4
M24_230127	【叹气】。我的声音被风吹走。飘的很远。
	wo3 de5 sheng1 yin1 bei4 feng1 chui1 zou3 piao1 de5 hen3 yuan3
M24_230128	【叹气】。我的世界变得寂静无声。没有欢乐。
	wo3 de5 shi4 jie4 bian4 de5 ji4 jing4 wu2 sheng1 mei2 you3 huan1 le4
M24_230129	【哭声】，我想找回失去的笑容。却找不到。
	wo3 xiang3 zhao3 hui2 shi1 qu4 de5 xiao4 rong2 que4 zhao3 bu2 dao4
M24_230130	【叹气】。我的眼泪是心底最真实的声音。
	wo3 de5 yan3 lei4 shi4 xin1 di3 zui4 zhen1 shi2 de5 sheng1 yin1
M24_230131	【叹气】。朋友离开后。连时间都变得缓慢。
	peng2 you3 li2 kai1 hou4 lian2 shi2 jian1 dou1 bian4 de5 huan3 man4
M24_230132	哎呦。我的心像飘零的叶子。找不到归宿。
	ai1 you5 wo3 de5 xin1 xiang4 piao1 ling2 de5 ye4 zi5 zhao3 bu2 dao4 gui1 su4
M24_230133	【哭声】我好想大声喊。却只能沉默。
	wo3 hao3 xiang3 da4 sheng1 han3 que4 zhi3 neng2 chen2 mo4
M24_230134	【叹气】。我的梦像破碎的泡泡。无法抓住。
	wo3 de5 meng4 xiang4 po4 sui4 de5 pao4 pao5 wu2 fa3 zhua1 zhu4
M24_230135	【叹气】。我害怕孤独。也害怕没人理解。
	wo3 hai4 pa4 gu1 du2 ye3 hai4 pa4 mei2 ren2 li3 jie3
M24_230136	【叹气】。我的笑容背后藏着无尽的悲伤。
	wo3 de5 xiao4 rong2 bei4 hou4 cang2 zhe5 wu2 jin4 de5 bei1 shang1
M24_230137	【哭声】，我想哭，却没人看见我的泪水。
	wo3 xiang3 ku1 que4 mei2 ren2 kan4 jian4 wo3 de5 lei4 shui3
M24_230138	【叹气】。我的眼睛干涩。充满泪水。
	wo3 de5 yan3 jing1 gan1 se4 chong1 man3 lei4 shui3
M24_230139	【叹气】。我好想有人能听懂我的心声。
	wo3 hao3 xiang3 you3 ren2 neng2 ting1 dong3 wo3 de5 xin1 sheng1
M24_230140	哎呦。我的心像被风吹散的叶子，飘零无助。
	ai1 you5 wo3 de5 xin1 xiang4 bei4 feng1 chui1 san4 de5 ye4 zi5 piao1 ling2 wu2 zhu4
M24_230141	【哭声】失去了你。我像失去了一切。
	shi1 qu4 le5 ni3 wo3 xiang4 shi1 qu4 le5 yi2 qie4
M24_230142	【叹气】。我的泪水淹没了所有欢笑。
	wo3 de5 lei4 shui3 yan1 mo4 le5 suo3 you3 huan1 xiao4
M24_230143	【叹气】。我害怕黑夜。害怕被遗忘。
	wo3 hai4 pa4 hei1 ye4 hai4 pa4 bei4 yi2 wang4
M24_230144	【叹气】。我的声音被风吹走。飘的很远。
	wo3 de5 sheng1 yin1 bei4 feng1 chui1 zou3 piao1 de5 hen3 yuan3
M24_230145	【叹气】。我的世界变得寂静无声。没有欢乐。
	wo3 de5 shi4 jie4 bian4 de5 ji4 jing4 wu2 sheng1 mei2 you3 huan1 le4
M24_230146	【叹气】。我想找回失去的笑容。却找不到。
	wo3 xiang3 zhao3 hui2 shi1 qu4 de5 xiao4 rong2 que4 zhao3 bu2 dao4
M24_230147	哎呦。朋友离开后。连时间都变得缓慢。
	ai1 you5 peng2 you3 li2 kai1 hou4 lian2 shi2 jian1 dou1 bian4 de5 huan3 man4
M24_230148	【哭声】，我的心像飘零的叶子。找不到归宿。
	wo3 de5 xin1 xiang4 piao1 ling2 de5 ye4 zi5 zhao3 bu2 dao4 gui1 su4
M24_230149	【叹气】。我好想大声喊。却只能沉默。
	wo3 hao3 xiang3 da4 sheng1 han3 que4 zhi3 neng2 chen2 mo4
M24_230150	【叹气】。我的梦像破碎的泡泡。无法抓住。
	wo3 de5 meng4 xiang4 po4 sui4 de5 pao4 pao5 wu2 fa3 zhua1 zhu4
M24_230151	哎。我害怕孤独。也害怕没人理解。
	ai5 wo3 hai4 pa4 gu1 du2 ye3 hai4 pa4 mei2 ren2 li3 jie3
M24_230152	【叹气】。我的笑容背后藏着无尽的悲伤。
	wo3 de5 xiao4 rong2 bei4 hou4 cang2 zhe5 wu2 jin4 de5 bei1 shang1
M24_230153	【叹气】。我想哭。却没人看见我的泪水。
	wo3 xiang3 ku1 que4 mei2 ren2 kan4 jian4 wo3 de5 lei4 shui3
M24_230154	【叹气】，我的眼睛干涩。充满泪水。
	wo3 de5 yan3 jing1 gan1 se4 chong1 man3 lei4 shui3
M24_230155	哎呦。我好想有人听懂我的心声。
	ai1 you5 wo3 hao3 xiang3 you3 ren2 ting1 dong3 wo3 de5 xin1 sheng1
M24_230156	【哭声】我的心像被风吹散的叶子。飘零无助。
	wo3 de5 xin1 xiang4 bei4 feng1 chui1 san4 de5 ye4 zi5 piao1 ling2 wu2 zhu4
M24_230157	【叹气】。失去了你。我像失去了一切。
	shi1 qu4 le5 ni3 wo3 xiang4 shi1 qu4 le5 yi2 qie4
M24_230158	【叹气】。我的泪水淹没了所有欢笑。
	wo3 de5 lei4 shui3 yan1 mo4 le5 suo3 you3 huan1 xiao4
M24_230159	【叹气】。我害怕黑夜。害怕被遗忘。
	wo3 hai4 pa4 hei1 ye4 hai4 pa4 bei4 yi2 wang4
M24_230160	【叹气】。我的声音被风吹走。飘得很远。
	wo3 de5 sheng1 yin1 bei4 feng1 chui1 zou3 piao1 de5 hen3 yuan3
M24_230161	【叹气】。我的世界变得寂静无声。没有欢乐。
	wo3 de5 shi4 jie4 bian4 de5 ji4 jing4 wu2 sheng1 mei2 you3 huan1 le4
M24_230162	哎呦。我的眼泪是心底最真实的声音。
	ai1 you5 wo3 de5 yan3 lei4 shi4 xin1 di3 zui4 zhen1 shi2 de5 sheng1 yin1
M24_230163	【哭声】朋友离开后。连时间都变得缓慢。
	peng2 you3 li2 kai1 hou4 lian2 shi2 jian1 dou1 bian4 de5 huan3 man4
M24_230164	【叹气】。我的梦像破碎的泡泡。无法抓住。
	wo3 de5 meng4 xiang4 po4 sui4 de5 pao4 pao5 wu2 fa3 zhua1 zhu4
M24_230165	【叹气】。我害怕孤独。也害怕没人理解。
	wo3 hai4 pa4 gu1 du2 ye3 hai4 pa4 mei2 ren2 li3 jie3
M24_230166	哎呦。我的眼睛干涩，充满泪水。
	ai1 you5 wo3 de5 yan3 jing1 gan1 se4 chong1 man3 lei4 shui3
M24_230167	【哭声】，我好想有人听懂我的心声。
	wo3 hao3 xiang3 you3 ren2 ting1 dong3 wo3 de5 xin1 sheng1
M24_230168	【叹气】。我的泪水淹没了所有欢笑。
	wo3 de5 lei4 shui3 yan1 mo4 le5 suo3 you3 huan1 xiao4
M24_230169	【叹气】。我害怕黑夜。害怕被遗忘。
	wo3 hai4 pa4 hei1 ye4 hai4 pa4 bei4 yi2 wang4
M24_230171	【哭声】。我的眼泪是心底最真实的声音。
	wo3 de5 yan3 lei4 shi4 xin1 di3 zui4 zhen1 shi2 de5 sheng1 yin1
M24_230172	【叹气】。我好想大声喊。却只能沉默。
	wo3 hao3 xiang3 da4 sheng1 han3 que4 zhi3 neng2 chen2 mo4
M24_230173	【叹气】。我的梦像破碎的泡泡。无法抓住。
	wo3 de5 meng4 xiang4 po4 sui4 de5 pao4 pao5 wu2 fa3 zhua1 zhu4
M24_230174	哎呦。我想哭。却没人看见我的泪水。
	ai1 you5 wo3 xiang3 ku1 que4 mei2 ren2 kan4 jian4 wo3 de5 lei4 shui3
M24_230175	【哭声】我的眼睛干涩。充满泪水。
	wo3 de5 yan3 jing1 gan1 se4 chong1 man3 lei4 shui3
M24_230176	【叹气】。失去了你。我像失去了一切。
	shi1 qu4 le5 ni3 wo3 xiang4 shi1 qu4 le5 yi2 qie4
M24_230177	哎呦。我的世界变得寂静无声。没有欢乐。
	ai1 you5 wo3 de5 shi4 jie4 bian4 de5 ji4 jing4 wu2 sheng1 mei2 you3 huan1 le4
M24_230178	【哭声】我想找回失去的笑容。却找不到。
	wo3 xiang3 zhao3 hui2 shi1 qu4 de5 xiao4 rong2 que4 zhao3 bu2 dao4
M24_230179	【叹气】。我的小球不见了。好伤心。
	wo3 de5 xiao3 qiu2 bu2 jian4 le5 hao3 shang1 xin1
M24_230181	【叹气】。我好想念我的奶奶。
	wo3 hao3 xiang3 nian4 wo3 de5 nai3 nai5
M24_230182	【哭声】我的冰淇凌掉地上了。
	wo3 de5 bing1 qi2 ling2 diao4 di4 shang5 le5
M24_230183	【叹气】。为什么朋友都要搬家呢？
	wei4 shen2 me5 peng2 you3 dou1 yao4 ban1 jia1 ne5
M24_230184	啊。天黑了。我一个人好害怕。
	a5 tian1 hei1 le5 wo3 yi2 ge4 ren2 hao3 hai4 pa4
M24_230185	【哭声】我的小鸟飞走了。再也不回来。
